id_timeline	titulo	subtitulo	descricao	data_evento	data_publicacao	veiculo	referencia	pagina	midia
	Brasil após turnê	Retorna ao Brasil após turnê na Europa	"Volta ao Brasil depois de tournee pela Holanda, Alemanha, Austria, Dinamarca, Noruega e Itália quando gravou pela RCA dois LPs ""Guitarra Clássica"" e ""Guitarra Fantástica"" , este o LP mais vendido na Alemanha no mês de seu lançamento"	1977-01-09	1977-01-09	Jornal do Brasil	Caderno B	3	
	Museu de Arte Moderna	Apresenta recital no Museu de Arte Moderna do Rio de Janeiro	Apresenta recital de quarta a domingo no Museu de Arte Moderna do Rio de Janeiro, na Avenida Beira Mar, às 21h	1977-01-26	1977-01-26	Jornal do Brasil	Caderno B	8	
	Grava no Brasil para a RCA da Alemanha	"Grava no Brasil o LP ""Tudo Bem"" para a RCA da Alemanha. "	"Termina as gravações do disco ""Tudo Bem"", gravado no Brasil para a RCA da Alemanha, com produção do produtor Alemão Claus Schreiner. Participaram como convidados Paulo Moura, Hermeto Pascoal e Maurício Einhorn."	1977-05-29	1977-05-29	Jornal do Brasil	Caderno B	4	
	Apresentação na TVE	"Apresentou-se no Programa ""Água Viva"" da TV-E do Rio de Janeiro."	"Transmissão do programa de Hermínio Belo de Carvalho ""Água Viva"" na TV-E, dia 22/07/1977 às 21h30min. gravado com Sebastião Tapajós, Zezé Gonzaga e Maurício Einhorn e reprisado no dia 24/07/1977, domingo, às 14 horas."	1977-07-22	1977-07-22	Jornal do Brasil	Televisão	7	
	Programa Jota Silvestre	Apresentou-se no Programa Jota Silvestre da TV Tupi do Rio de Janeiro.	Concede entrevista ao Programa Jota Silvestre na TV Tupi do Rio de Janeiro as 23h.	1977-07-29	1977-07-29	Jornal do Brasil	Serviço	7	
	Turnê pelo Brasil	"Realiza turnê pelo norte e nordeste do Brasil para o lançamento do LP ""Guitarra Fantástica"" da RCA"	"Lança no Brasil do seu LP ""Guitarra Fantástica"" da RCA, apresentando-se por dois dias na Escola de Música de Brasília, seguindo para turnê em Manaus, Santarém, Belém, São Luis, Teresina, Fortaleza, Recife e Salvador. "	1977-08-13	1977-08-13	Jornal do Brasil	Caderno B	5	
	Municipal de Niterói	Apresentou-se no Teatro Municipal de Niterói com os convidados especiais Carmem Costa e Maurício Einhorn	Apresentou-se por quatro dias no Teatro Municipal de Niterói com os convidados especiais Carmem Costa e Maurício Einhorn, acompanhados por Luizão Maia (Baixo) e Marku (bateria)	1977-09-01	1977-08-27	Jornal do Brasil	Caderno B	4	
	Teatro Ipanema	Apresentou-se no Teatro Ipanema com os convidados especiais Carmem Costa e Maurício Einhorn	Apresentou-se por quatro dias no Teatro Ipanema, Rua Prudente de Morais, 824 em Ipanema no Rio de Janeiro com os convidados especiais Carmem Costa e Maurício Einhorn, acompanhados por Luizão Maia (Baixo) e Marku (bateria)	1977-10-27	1977-10-21	Jornal do Brasil	Caderno B	5	
	Retorno à Europa	Parte para nova turnê pela Europa	Parte para nova turnê na Europa onde lança dois novos discos, grava três programas para a TV e realiza 65 apresentações em sete países	1977-11-01	1977-10-22	Jornal do Brasil	Caderno B	3	
	Morro da Urca	Apresenta um recital de música erudita na Concha Verde do Morro da Urca	"Apresentou-se na Concha Verde do Morro da Urca, às 21h, em projeto de música erudita, coordenado pela empresária Gabi Leib. O repertório incluía: Dois prelúdios de Bach; Astúrias de Albeniz; Prelúdio nº 1 de Guido Santorsoia; Estudos nº 2 e nº 7 de Villa-Lobos; Dança Paraguaia, Estudo para Concerto e Souvenir d'un Rêve, de Barrios; Prelúdio e Ponteado de Guerra-Peixe; Tarantela, de Napoleon Coste e Colibri de Sagreas. Era o que ele gostava de tocar a época."	1978-01-23	1977-12-31	Jornal do Brasil	Caderno B	8	
	SESC Tijuca	"Apresenta o recital de abertura da série ""Divertimento Opus SESC"" de música erudita, no Teatro SESC Tijuca"	"Apresenta o recital de abertura da série ""Divertimento Opus SESC"" de música erudita, no Teatro SESC Tijuca, às 21h, com direção do violinista Jerzy Milewsky, na Rua Barão de Mesquita, 539 na Tijuca, Rio de Janeiro. Tapajós interpreta composições próprias além de Gasper Sainz,Villa-Lobos, Agostin Barrios, Piazolla, Luiz Gonzaga e outros."	1978-03-13	1978-03-13	Jornal do Brasil	Serviço	6	
	Teatro Casa Grande	Apresenta recital no Teatro Casa Grande, em Ipanema	Apresenta recital no Teatro Casa Grande, às 21h, na Av. Afrânio de Melo Franco, 290 em Ipanema 	1978-03-27	1978-03-27	Jornal do Brasil	Caderno B	6	
	Pró-Música Silvestre	"Apresentou-se no projeto ""Pró-Música Silvestre"" na Ladeira dos Guararapes, 263 no Cosme Velho, Rio de Janeiro"	"Apresentou-se no projeto ""Pró-Música Silvestre"" na Ladeira dos Guararapes, 263 no Cosme Velho, Rio de Janeiro"	1978-04-30	1978-04-29	Jornal do Brasil	Música Popular		
	Sala Cecília Meireles no Rio	Apresentou-se na Sala Cecília Meireles Rio de Janeiro	Apresentou-se na Sala Cecília Meireles Rio de Janeiro tocando obras de Villa-Lobos (Estudo nº 1, 2 e 7), composições próprias, e de Augustin Barrios, J. Ayala, Antônio Louro, Augusto Sardinha e Maurício Einhorn	1978-05-10	1978-05-06	Jornal do Brasil	Caderno B	4	
	É Preciso Cantar	"Participação no Programa ""É Preciso Cantar"" da TVE do Rio de Janeiro"	"Apresentação na TVE do Rio de Janeiro, às 21h, o programa ""É preciso Cantar"" com a participação de Sebastião Tapajós e outros artistas."	1978-06-29	1978-06-29	Jornal do Brasil	Caderno B	7	
	Recital no Rio	Apresentou recital no Auditório da Sondotecnica, no Largo dos Leões no bairro do Humaitá, no Rio de Janeiro	Apresentou recital no Auditório da Sondotecnica, no Largo dos Leões no bairro do Humaitá, no Rio de Janeiro às 21h, interpretando 8 peças de Agustin Barrios, Estudos nº 1, 2 e 7 de Villa-Lobos, Takirari, de J. Ayala, El Marabino, de Antonio Louro, Choro Triste, de Augusto Sardinha, Se fosse Choro e Estudo Afro-Samba de Tapajós e transições e Ebulição, de Tapajós e Maurício Einhorn.	1978-07-10	1978-07-10	Jornal do Brasil	Caderno B	7	
	Morro da Urca	Realiza duas apresentações com Waldir Azevedo (cavaquinho) na Concha Verde do Morro da Urca no Rio de Janeiro.	Apresentou-se em dois shows, sábado e domingo, na Concha Verde do Morro da Urca (atração turística do Pão de Açucar) no Rio de Janeiro com Waldir Azevedo (cavaquinho), acompanhados de Hamilton de Holanda (bandolin), Fernandinho Carvalho, (violão e vocal), Carlinhos (violão de sete cordas), Eli (cavaquinho) e Pernambuco (pandeiro).	1978-07-15	1978-07-15	A Luta Democrática	1º Caderno	6	
	Apresentação na TVE	"Apresentou-se no Programa  ""É Preciso Cantar"" da TV-E do Rio de Janeiro."	"Apresentou-se no programa da TVE do Rio de Janeiro ""É Preciso Cantar"" com vários outros músicos famosos no cenário nacional. O programa foi ao ar no dia 03/08/1978 às 21h."	1978-08-03	1978-08-03	A Luta Democrática	1º Caderno	7	
	Teatro dos Quatro	Apresentou-se no Teatro dos Quatro, no Rio de Janeiro	Apresentou-se no Teatro dos Quatro, no Shopping Center da Gávea, na Rua Marquês de São Vicente, 52, 2º andar, no Rio de Janeiro, às 21h, com a participação de Michael Bessler (violino), Manoel Sternick (viola) e Ralf Norman (violoncelo), interpretando peças de Leopoldo Wais, Gaspar Sainz, Napoleon Coste, Emílio Pujol, Albeniz, Falla, J. Segreras, Schubert e Concerto em Lá Maior e Cocerto em Ré Menor, de Vivaldi.	1978-09-11	1978-09-09	Jornal do Brasil	Caderno B	7	
	Nova apresentação	Apresentou-se no Teatro dos Quatro, no Rio de Janeiro	Apresentou-se no Teatro dos Quatro, no Shopping Center da Gávea, na Rua Marquês de São Vicente, 52, 2º andar, no Rio de Janeiro interpretando Villa-Lobos, Gerra Peixe, Agustin Barrios e outros.	1978-09-18	1978-09-15	Jornal do Brasil	Caderno B	7	
	Apresentação na Universidade	Apresentou-se no Auditório da Reitoria da UFF em Niterói	Apresentou-se no Auditório da Reitoria da UFF, na Rua Miguel de Frias, Icaraí, Niterói, às 21h	1978-09-23	1978-09-23	Jornal do Brasil	Caderno B	7	
	Teatro dos Quatro	Apresentou-se no Teatro dos Quatro, no Rio de Janeiro	Apresentou-se no Teatro dos Quatro, no Shopping Center da Gávea, na Rua Marquês de São Vicente, 52, 2º andar, no Rio de Janeiro interpretando Villa-Lobos, Gerra Peixe, Agustin Barrios e outros.	1978-09-30	1978-09-27	Jornal do Brasil	Caderno B	7	
	Carnegie Hall	Recebeu convite para apresentar-se no Carnegie Hall de Nova Iorque	Recebeu convite para apresentar-se no Carnegie Hall de Nova Iorque em setembro de 1979	1979-03-03	1979-03-03	Jornal do Brasil	Caderno B	3	
	Turnê de lançamento	"Fez a turnê de lançamento do LP ""Violão e Amigos"" "	"Fez a turnê de lançamento do LP ""Violão e Amigos"" (RCA) que tem a participação de Paulo Moura, Hermeto Paschoal e Maurício Einhorn, apresentando-se em Porto Alegre, São Paulo e Campinas. "	1979-03-20	1979-03-17	Jornal do Brasil	Caderno B	4	
	Documentário para a Alemanha	Participou de documentário gravado para a TV alemã	Participou de documentário gravado por Caterina Valente, para a TV alemã, sobre a música brasileira	1979-03-28	1979-03-28	Jornal do Brasil	Caderno B	3	
	Sala Cecília Meireles no Rio	Apresentou recital na Sala Cecília Meireles no Rio de Janeiro	"Apresentou recital na Sala Cecília Meireles no Rio de Janeiro, às 21h, encerrando turnê de lançamento do LP ""Violão e Amigos com repertório que incluiu: Astor Piazzolla, Waldir Ayalla, Antônio Lauro, João Pernambuco, Luiz Gonzada e Haroldo Lobo"	1979-03-31	1979-03-30	Jornal do Brasil	Caderno B	3	
	Colégio Bennet	Apresentou-se no Auditório do Colégio Bennet, no Rio de Janeiro	Apresentou-se no Auditório do Colégio Bennet, na Rua Marques de Abrantes, 55 no Flamengo, Rio de Janeiro, às 21h, interpretando obras de Astor Piazzolla, Waldir Ayalla, Antônio Lauro, Agustin Barrios, João Pernambuco, Luiz Gonzaga, Humberto Teixeira, Haroldo Lobo e Miltinho, além de músicas próprias.	1979-03-04	1979-04-01	Jornal do Brasil	Caderno B	6	
	Concertos Para a Juventude	"Participou do programa ""Concertos Para a Juventude"" da TV Globo"	"Participou do programa ""Concertos Para a Juventude"" da TV Globo, apresentado as 10h, com o Duo Assad"	1979-06-17	1979-06-17	Jornal do Brasil	Caderno B	7	
	Teatro Vanucci	Apresentou-se no Teatro Vanucci, no Rio de Janeiro	"Apresentou-se às 21h, no Teatro Vanucci, na Rua Marquês de São Vicente, 52 - 3° Andar, Gávea, no Rio de Janeiro, lançando os discos ""Guitarra Latina"" e ""Guitarra e Amigos"""	1979-08-15	1979-08-11	Jornal do Brasil	Caderno B	6	
	Com Roberto Gnatalli	Se apresenta na Sala Funarte do Rio de Janeiro com Roberto Gnatalli	Sob a direção de Roberto Moura, Sebastião Tapajós e Roberto Gnatalli (piano) se apresentaram na Sala Funarte, localizada no Edifício Gustavo Capanema, Rua da Imprensa, 16, Centro, Rio de Janeiro, entre os dias 03 a 14 de junho de 1980 (de terça a sábado) às 18h30min. Pela primeira vez se apresentam juntos, tocando frevo, chorinho, samba e baião. No show foram acompanhados pela banda com: Maria Antonieta e Daniel Garcia (flauta), José Arthur (clarinete), Carlos Wackins (sax tenor e soprano), Dodô (contrabaixo acústico) e Élcio (bateria e percussão).	1980-06-03	1980-06-04	A Luta Democrática	1º Caderno	5	
	Concertos com as Estrelas	"Apresentou-se na série ""Concertos com as Estrelas"", no Auditório do Planetário da Gávea, no Rio de Janeiro"	"Apresentou-se na série ""Concertos com as Estrelas"", no Auditório do Planetário da Cidade, na Rua Padre Leonel França  240, no Rio de Janeiro, interpretando Weiss, Agustin Barrios, Emílio Pujol, Villa-Lobos, Guerra Peixe e Astor Piazzolla"	1979-07-25	1979-07-20	Jornal do Brasil	Serviço	4	
	Igreja São José	Apresentou-se às na Igreja São José, no Rio de Janeiro	Apresentou recital às 18h30min. na Igreja São José Av. Presidente Antônio Carlos, Centro, Rio de Janeiro, interpretando Augustin Barrios, Emílio Pujol, Villa-Lobos e Piazzolla	1979-10-18	1979-10-17	Jornal do Brasil	Caderno B	4	
	Nova turnê pela Europa	Realizou turnê pela Europa	Realizou turnê pela Europa	1980-01-01	1980-01-01				
	Turnê pelo Japão	Realizou turnê pelo Japão	Realizou turnê pelo Japão	1980-01-14	1980-01-14				
	Show nas Barcas	Se apresenta com Sérgio Ricardo em show ao ar livre na Praça XV no centro do Rio de Janeiro	"Apresentou show com Sérgio Ricardo em um palco montado na Praça VX, na ""estação das barcas"" no centro do Rio de Janeiro às 18h30min. O show fez parte da série ""Música no Corredor Cultural"" sob a direção de Albino Pinheiro."	1980-10-03	1980-10-02	A Luta Democrática	1º Caderno	4	
	Projeto Seis e Meia Rio	Apresentou-se com Lúcio Alves e Maurício Einhorn no teatro João Caetano no Rio de Janeiro	"Apresentou-se com Lúcio Alves e Maurício Einhorn no teatro João Caetano às 18h30min. situado na Praça Tiradentes no centro do Rio de Janeiro. A apresentação faz parte da série de shows do ""Projeto Seis e Meia"", sob a direção de Albino Pinheiro."	1980-11-07	1980-11-07	A Luta Democrática	1º Caderno	6	
	Temporada no IBAM	Apresentou-se com Maurício Einhorn (gaita) e Arismar do Espírito Santo (contrabaixo) no Teatro do IBAM, no Rio de Janeiro.	"Estreou no Teatro do IBAM situado na Rua Visconde de Silva, Nº 1, no bairro do Humaitá, no Rio de Janeiro, o show ""Sebastião Tapajós e Amigos"", com a participação de Maurício Einhorn (harmônica) e Arismar do Espírito Santo (contrabaixo) no estilo ""Jazz Latino"" com baião, samba, bossa nova, afro, carimbó e outros ritmos latinos com uma levada ""jazzística"" e muita improvisação."	1983-08-16	1983-08-16	A Luta Democrática	1º Caderno	6	
	Homenagem	"Foi homenageado na inauguração do ""Clube dos Compositores do Estado do Rio de Janeiro""."	"Foi um dos homenageados no coquetel de inauguração do ""Clube dos Compositores do Estado do Rio de Janeiro"". O evento foi realizado no auditório do Palácio Gustavo Capanema (Ministério da Educação) na Rua da Imprensa, 16, Centro, Rio de Janeiro. "	1986-10-09	1986-10-09	A Luta Democrática	1º Caderno	3	
